Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Andrei Vasilevskiy,TB,53,39,10,4,2.4,128,"1,713","1,585",0.925,6,"3,204"
Sergei Bobrovsky,FLA,62,37,24,1,2.6,153,"1,756","1,603",0.913,9,"3,557"
Martin Jones,SJ,62,36,19,5,3,176,"1,699","1,523",0.896,3,"3,597"
Frederik Andersen,TOR,60,36,16,7,2.8,162,"1,958","1,796",0.917,1,"3,510"
Marc-Andre Fleury,VGK,61,35,21,5,2.5,152,"1,745","1,593",0.913,8,"3,635"
Carey Price,MON,66,35,24,6,2.5,161,"1,952","1,791",0.918,4,"3,880"
Connor Hellebuyck,WPG,63,34,23,3,2.9,179,"2,051","1,872",0.913,2,"3,704"
Braden Holtby,WAS,59,32,19,5,2.8,160,"1,795","1,635",0.911,3,"3,407"
Devan Dubnyk,MIN,67,31,28,6,2.6,163,"1,877","1,714",0.913,2,"3,855"
Pekka Rinne,NSH,56,30,19,4,2.4,130,"1,581","1,451",0.918,4,"3,220"
Matt Murray,PIT,50,29,14,6,2.7,129,"1,594","1,465",0.919,4,"2,880"
Jacob Markstrom,VAN,60,28,23,9,2.8,166,"1,896","1,730",0.912,1,"3,599"
David Rittich,CGY,45,27,9,5,2.6,109,"1,228","1,119",0.911,1,"2,503"
Tuukka Rask,BOS,46,27,13,5,2.5,109,"1,245","1,136",0.912,4,"2,635"
Darcy Kuemper,ARI,55,27,20,8,2.3,126,"1,677","1,551",0.925,5,"3,251"
Ben Bishop,DAL,46,27,15,2,2,87,"1,323","1,236",0.934,7,"2,637"
John Gibson,ANH,58,26,22,8,2.9,153,"1,838","1,685",0.917,2,"3,233"
Mikko Koskinen,EDM,55,25,21,6,3,146,"1,551","1,405",0.906,4,"2,992"
Robin Lehner,CHI,46,25,13,5,2.1,93,"1,323","1,230",0.93,6,"2,616"
Jordan Binnington,STL,32,24,5,1,1.9,59,807,748,0.927,5,"1,876"
Jimmy Howard,DET,55,23,22,5,3.1,156,"1,709","1,553",0.909,0,"3,053"
Thomas Greiss,NYI,43,23,14,2,2.3,87,"1,185","1,098",0.927,5,"2,294"
Mike Smith,EDM,42,23,16,2,2.7,109,"1,069",960,0.898,2,"2,400"
Petr Mrazek,CAR,40,23,14,3,2.4,95,"1,104","1,009",0.914,4,"2,387"
Jaroslav Halak,BOS,40,22,11,4,2.4,90,"1,158","1,068",0.922,5,"2,308"
Louis Domingue,TB,26,21,5,0,2.9,75,812,737,0.908,0,"1,561"
Curtis McElhinney,TB,33,20,11,2,2.6,85,968,883,0.912,2,"1,978"
Semyon Varlamov,NYI,49,20,19,9,2.9,136,"1,496","1,360",0.909,2,"2,839"
Jake Allen,STL,46,19,17,8,2.8,121,"1,277","1,156",0.905,3,"2,568"
Roberto Luongo,FA,43,18,16,5,3.1,122,"1,205","1,083",0.899,1,"2,347"
Philipp Grubauer,COL,37,18,9,5,2.7,89,"1,071",982,0.917,3,"2,021"
Henrik Lundqvist,NYR,52,18,23,10,3.1,158,"1,699","1,541",0.907,0,"3,089"
Carter Hutton,BUF,50,18,25,5,3,142,"1,541","1,399",0.908,0,"2,840"
Craig Anderson,OTT,50,17,27,4,3.5,163,"1,676","1,513",0.903,2,"2,785"
Juuse Saros,NSH,31,17,10,2,2.6,74,870,796,0.915,3,"1,696"
Pheonix Copley,WAS,27,16,7,3,2.9,74,776,702,0.905,1,"1,529"
Carter Hart,PHI,31,16,13,1,2.9,81,976,895,0.917,0,"1,717"
Anton Khudobin,DAL,41,16,17,5,2.6,95,"1,232","1,137",0.923,2,"2,220"
Jonathan Quick,LA,46,16,23,7,3.4,149,"1,329","1,180",0.888,2,"2,648"
Cam Ward,FA,33,16,12,4,3.7,115,"1,113",998,0.897,0,"1,882"
Keith Kinkaid,MON,41,15,18,6,3.4,129,"1,188","1,059",0.891,3,"2,302"
Casey DeSmith,PIT,36,15,11,5,2.8,89,"1,060",971,0.916,3,"1,944"
Linus Ullmark,BUF,37,15,14,5,3.1,109,"1,146","1,037",0.905,2,"2,102"
Alexandar Georgiev,NYR,33,14,13,4,2.9,91,"1,057",966,0.914,2,"1,874"
Anders Nilsson,OTT,36,14,19,1,3,101,"1,098",997,0.908,2,"2,040"
Corey Crawford,CHI,39,14,18,5,2.9,108,"1,176","1,068",0.908,2,"2,213"
Laurent Brossoit,WPG,21,13,6,2,2.5,49,652,603,0.925,1,"1,165"
James Reimer,CAR,36,13,12,5,3.1,93,929,836,0.9,0,"1,805"
Brian Elliott,PHI,26,11,11,1,3,69,741,672,0.907,1,"1,397"
Cam Talbot,CGY,35,11,17,3,3.4,108,997,889,0.892,1,"1,905"
Joonas Korpisalo,CLS,27,10,7,3,3,67,651,584,0.897,0,"1,361"
Jack Campbell,LA,31,10,14,1,2.3,61,845,784,0.928,2,"1,593"
MacKenzie Blackwood,NJ,23,10,10,0,2.6,55,669,614,0.918,2,"1,264"
Aaron Dell,SJ,25,10,8,4,3.2,70,613,543,0.886,2,"1,323"
Jonathan Bernier,DET,35,9,18,5,3.2,98,"1,025",927,0.904,1,"1,860"
Ryan Miller,ANH,20,8,7,2,2.8,51,578,527,0.912,1,"1,109"
Antti Niemi,FA,17,8,6,2,3.8,61,539,478,0.887,0,969
Garret Sparks,VGK,20,8,9,1,3.2,58,592,534,0.902,1,"1,105"
Malcolm Subban,VGK,21,8,10,2,3,60,612,552,0.902,1,"1,227"
Adin Hill,ARI,13,7,5,0,2.8,32,322,290,0.901,1,696
Cory Schneider,NJ,26,6,13,4,3.1,70,718,648,0.903,1,"1,372"
Collin Delia,CHI,16,6,4,3,3.6,50,545,495,0.908,0,831
Alex Stalock,MIN,21,6,8,3,3,53,525,472,0.899,0,"1,065"
Cal Petersen,LA,11,5,4,1,2.6,27,355,328,0.924,1,622
Antti Raanta,ARI,12,5,6,0,2.9,33,351,318,0.906,0,687
Samuel Montembeault,FLA,11,4,3,2,3.1,30,282,252,0.894,0,591
Anthony Stolarz,ANH,18,4,5,3,3.5,50,503,453,0.901,1,868
Calvin Pickard,DET,17,4,6,2,3.9,48,384,336,0.875,1,747
Thatcher Demko,VAN,9,4,3,1,2.8,25,288,263,0.913,0,534
Michael Hutchinson,TOR,9,3,4,2,3.3,27,239,212,0.887,1,496
Chad Johnson,FA,19,2,11,0,3.7,49,406,357,0.879,1,810
Edward Pasquale,FA,3,2,1,0,4,12,102,90,0.882,0,182
Scott Darling,FA,8,2,4,2,3.4,27,233,206,0.884,0,486
Kevin Boyle,ANH,5,1,3,0,2.2,10,139,129,0.928,1,277
Michal Neuvirth,TOR,7,1,4,1,4.3,26,184,158,0.859,0,366
Charlie Lindgren,MON,1,1,0,0,4.6,5,49,44,0.898,0,65
Mike McKenna,FA,11,1,5,1,4,34,316,282,0.892,0,511
Alex Nedeljkovic,CAR,1,1,0,0,2,2,26,24,0.923,0,60
Joey Daccord,OTT,1,0,1,0,5,5,40,35,0.875,0,60
Marcus Hogberg,OTT,4,0,2,1,4.1,14,121,107,0.884,0,206
Landon Bow,DAL,2,0,0,0,1,1,19,18,0.947,0,58
Tristan Jarry,PIT,2,0,1,1,3.5,7,62,55,0.887,0,120
Eric Comrie,WPG,1,0,1,0,5.1,5,28,23,0.821,0,60
Pavel Francouz,COL,2,0,2,0,2,2,35,33,0.943,0,61
Richard Bachman,VAN,1,0,1,0,6,6,29,23,0.793,0,60
Max Lagace,BOS,1,0,1,0,4.1,4,31,27,0.871,0,60
Hunter Miska,COL,1,0,0,0,3.3,1,9,8,0.889,0,18
Michael DiPietro,VAN,1,0,1,0,7,7,24,17,0.708,0,60
Peter Budaj,FA,3,0,1,0,5.1,6,33,27,0.818,0,72
Mike Condon,TB,2,0,2,0,6.5,8,40,32,0.8,0,75
Christopher Gibson,NYI,2,0,0,0,1.5,1,17,16,0.941,0,40
Kaden Fulcher,DET,1,0,0,0,4.4,2,11,9,0.818,0,27
Alex Lyon,PHI,2,0,1,0,5.1,6,31,25,0.806,0,71