Player,Team,Pos,Games,G,A,Pts,plusminus,SOG,PPG,PPA,PPP,Hits,BS,FP,FPGP
Aaron Ekblad,FLA,D,40,5,18,23,11,96,0,3,3,17,53,132.9,3.3225
Aaron Ness,ARI,D,18,0,1,1,1,9,0,0,0,16,13,20.6,1.144444444
Adam Boqvist,CHI,D,18,2,3,5,-6,25,0,2,2,10,15,33.5,1.861111111
Adam Brooks,TOR,C,3,0,1,1,1,1,0,0,0,0,1,3.4,1.133333333
Adam Erne,DET,LW,34,2,0,2,-17,45,0,0,0,97,18,73,2.147058824
Adam Fox,NYR,D,41,5,17,22,3,73,1,9,10,17,53,124.7,3.041463415
Adam Gaudette,VAN,C,32,8,10,18,-2,39,4,4,8,19,13,82.6,2.58125
Adam Henrique,ANH,C,42,14,10,24,2,100,2,2,4,40,15,134.5,3.202380952
Adam Johnson,PIT,C,7,1,1,2,-1,5,0,0,0,4,3,10,1.428571429
Adam Larsson,EDM,D,22,0,2,2,-11,25,0,0,0,34,44,47.5,2.159090909
Adam Lowry,WPG,LW,40,4,5,9,0,57,0,0,0,112,21,111.3,2.7825
Adam Pelech,NYI,D,38,1,8,9,4,49,0,0,0,81,83,122.6,3.226315789
Adrian Kempe,LA,C,42,8,9,17,-2,84,1,2,3,48,9,106.1,2.526190476
Alan Quine,CGY,C,9,1,0,1,-1,12,0,0,0,6,2,11.3,1.255555556
Alec Martinez,LA,D,25,0,5,5,-2,37,0,1,1,17,58,62.3,2.492
Aleksander Barkov,FLA,C,42,13,32,45,7,112,6,9,15,12,18,181.3,4.316666667
Aleksi Saarela,FLA,C,3,0,0,0,0,3,0,0,0,0,1,1.7,0.566666667
Alex Biega,DET,D,21,0,1,1,-2,16,0,0,0,47,18,39.9,1.9
Alex Chiasson,EDM,RW,38,4,8,12,-1,57,3,4,7,33,11,79.3,2.086842105
Alex DeBrincat,CHI,RW,43,10,20,30,-2,121,6,3,9,45,15,156.4,3.637209302
Alex Galchenyuk,PIT,RW,33,4,10,14,-3,58,2,3,5,28,9,77.2,2.339393939
Alex Goligoski,ARI,D,44,3,21,24,7,68,2,7,9,60,83,162.2,3.686363636
Alex Iafallo,LA,C,43,8,15,23,-4,85,4,2,6,32,26,121,2.813953488
Alex Kerfoot,TOR,C,38,7,10,17,3,57,1,2,3,32,26,97.3,2.560526316
Alex Killorn,TB,C,39,16,19,35,8,86,7,5,12,29,11,156.4,4.01025641
Alex Ovechkin,WAS,LW,43,24,16,40,-13,200,9,4,13,122,15,259,6.023255814
Alex Pietrangelo,STL,D,43,12,23,35,8,136,5,12,17,22,49,192.9,4.486046512
Alex Tuch,VGK,RW,28,6,7,13,-5,58,2,3,5,30,13,79.2,2.828571429
Alexander Edler,VAN,D,32,4,16,20,4,70,1,5,6,63,98,160.5,5.015625
Alexander Nylander,CHI,RW,39,5,9,14,-9,59,0,2,2,20,10,69.1,1.771794872
Alexander Radulov,DAL,RW,39,12,15,27,14,97,6,2,8,32,31,151.3,3.879487179
Alexander Steen,STL,LW,27,0,7,7,8,38,0,0,0,10,28,52.2,1.933333333
Alexander Volkov,TB,LW,4,0,0,0,-5,3,0,0,0,5,1,1.7,0.425
Alexander Wennberg,CLS,C,41,2,12,14,-5,54,1,4,5,12,24,72.1,1.758536585
Alexandre Carrier,NSH,D,1,0,0,0,1,1,0,0,0,1,0,1.4,1.4
Alexandre Texier,CLS,C,36,6,7,13,3,49,0,1,1,20,7,67.6,1.877777778
Anders Bjork,BOS,LW,35,6,5,11,0,48,1,0,1,27,13,68.2,1.948571429
Anders Lee,NYI,C,40,11,12,23,4,94,1,3,4,78,26,152.6,3.815
Andre Burakovsky,COL,LW,39,13,12,25,-2,75,1,7,8,13,24,118.5,3.038461538
Andreas Athanasiou,DET,C,36,5,14,19,-35,88,1,4,5,23,19,86.7,2.408333333
Andreas Englund,OTT,D,9,0,2,2,-3,4,0,0,0,23,6,18.6,2.066666667
Andreas Johnsson,TOR,LW,30,6,10,16,2,66,4,1,5,30,13,91.9,3.063333333
Andrei Svechnikov,CAR,RW,42,18,23,41,13,115,5,10,15,69,18,211,5.023809524
Andrej Sekera,DAL,D,38,2,5,7,9,40,0,0,0,25,58,78,2.052631579
Andrew Agozzino,PIT,LW,1,0,0,0,-1,0,0,0,0,1,0,0,0
Andrew Cogliano,DAL,LW,41,2,6,8,1,38,0,0,0,52,19,69.2,1.687804878
Andrew Copp,WPG,C,34,5,9,14,0,66,0,0,0,35,14,83.9,2.467647059
Andrew Ladd,NYI,LW,1,0,0,0,0,1,0,0,0,5,0,2.9,2.9
Andrew Mangiapane,CGY,LW,42,8,7,15,0,52,0,0,0,43,11,85.8,2.042857143
Andrew Peeke,CLS,D,7,0,1,1,3,3,0,0,0,12,9,15.2,2.171428571
Andrew Shaw,CHI,C,26,3,7,10,-4,46,1,1,2,74,9,82.9,3.188461538
Andy Andreoff,PHI,C,13,0,1,1,-2,13,0,0,0,20,4,18.2,1.4
Andy Greene,NJ,D,37,0,5,5,0,32,0,0,0,22,86,76.8,2.075675676
Anthony Beauvillier,NYI,LW,40,10,13,23,1,74,2,3,5,47,21,125.1,3.1275
Anthony Bitetto,WPG,D,32,0,4,4,2,41,0,0,0,92,31,86.9,2.715625
Anthony Cirelli,TB,C,40,9,18,27,10,68,1,2,3,49,27,136.2,3.405
Anthony DeAngelo,NYR,D,41,8,21,29,3,84,2,7,9,31,27,139.1,3.392682927
Anthony Duclair,OTT,LW,41,21,11,32,-2,123,5,2,7,38,25,171.7,4.187804878
Anthony Mantha,DET,RW,29,12,12,24,-9,95,4,2,6,34,18,125.5,4.327586207
Anthony Richard,NSH,C,1,0,0,0,-1,2,0,0,0,0,0,0.3,0.3
Antoine Roussel,VAN,LW,14,5,2,7,2,21,0,1,1,22,5,42.9,3.064285714
Anton Lindholm,COL,D,4,0,1,1,1,1,0,0,0,5,5,7.9,1.975
Anton Stralman,FLA,D,42,4,12,16,-7,55,0,0,0,42,62,106.5,2.535714286
Anton Wedin,CHI,LW,4,0,0,0,1,2,0,0,0,5,1,4.3,1.075
Antti Suomela,SJ,C,7,0,1,1,0,5,0,0,0,7,3,9,1.285714286
Anze Kopitar,LA,C,43,15,22,37,0,82,4,9,13,28,35,166.3,3.86744186
Artem Anisimov,OTT,C,24,7,2,9,-10,40,1,0,1,3,12,44.5,1.854166667
Artemi Panarin,NYR,LW,41,22,33,55,17,120,6,8,14,16,7,214,5.219512195
Artturi Lehkonen,MON,LW,42,9,11,20,8,87,0,0,0,90,24,144.8,3.447619048
Ashton Sautner,VAN,D,1,0,0,0,0,1,0,0,0,0,0,0.4,0.4
Austin Czarnik,CGY,C,8,2,1,3,1,9,1,0,1,1,2,14.6,1.825
Austin Poganski,STL,RW,1,0,0,0,0,0,0,0,0,0,0,0,0
Austin Wagner,LA,LW,39,3,4,7,-2,82,0,0,0,99,9,102.8,2.635897436
Austin Watson,NSH,LW,39,6,7,13,1,43,0,0,0,95,40,117.2,3.005128205
Auston Matthews,TOR,C,43,28,23,51,16,156,7,8,15,24,29,241.9,5.625581395
Barclay Goodrow,SJ,LW,44,7,11,18,3,61,0,0,0,91,45,136.9,3.111363636
Barrett Hayton,ARI,C,14,1,3,4,1,20,0,0,0,10,2,23.5,1.678571429
Beck Malenstyn,FA,C,3,0,0,0,-1,4,0,0,0,5,1,4.1,1.366666667
Beck Malenstyn,WAS,C,3,0,0,0,-1,4,0,0,0,5,1,4.1,1.366666667
Ben Chiarot,MON,D,42,5,8,13,5,87,0,0,0,106,79,160.8,3.828571429
Ben Hutton,LA,D,43,1,5,6,-1,71,0,0,0,32,58,85.9,1.997674419
Ben Street,NJ,C,1,0,0,0,0,3,0,0,0,1,0,1.7,1.7
Blake Coleman,NJ,C,41,13,8,21,4,115,0,0,0,123,30,179.5,4.37804878
Blake Comeau,DAL,LW,28,5,4,9,-2,41,0,0,0,64,10,75.4,2.692857143
Blake Lizotte,LA,LW,43,4,11,15,2,60,1,1,2,27,11,80,1.860465116
Blake Wheeler,WPG,RW,42,14,22,36,-7,107,2,10,12,66,30,185.3,4.411904762
Bo Horvat,VAN,C,42,12,23,35,-4,112,6,4,10,33,42,172.3,4.102380952
Bobby Ryan,OTT,RW,16,1,3,4,0,21,0,0,0,24,3,30.9,1.93125
Boo Nieves,NYR,C,4,0,0,0,2,2,0,0,0,3,2,4.3,1.075
Boone Jenner,CLS,LW,42,8,9,17,-7,100,2,1,3,67,44,137,3.261904762
Brad Hunt,MIN,D,43,7,8,15,-5,79,3,5,8,7,24,89.6,2.08372093
Brad Marchand,BOS,LW,43,20,40,60,18,113,4,15,19,37,9,236.2,5.493023256
Brad Richardson,ARI,C,37,3,3,6,4,41,0,0,0,41,28,67.9,1.835135135
Brady Skjei,NYR,D,40,5,12,17,1,84,0,0,0,60,55,130.6,3.265
Brady Tkachuk,OTT,LW,42,13,11,24,-12,147,2,1,3,167,24,212.3,5.054761905
Brandon Carlo,BOS,D,43,4,9,13,8,68,0,0,0,76,50,124.2,2.888372093
Brandon Davidson,CGY,D,3,0,0,0,-3,8,0,0,0,4,4,5.7,1.9
Brandon Manning,EDM,D,9,1,0,1,-1,8,0,0,0,10,6,13.7,1.522222222
Brandon Montour,BUF,D,29,2,8,10,6,54,0,1,1,31,20,73.1,2.520689655
Brandon Pirri,VGK,C,11,0,1,1,-3,19,0,0,0,9,2,13.6,1.236363636
Brandon Saad,CHI,LW,36,11,8,19,-2,84,0,0,0,25,14,101.1,2.808333333
Brandon Sutter,VAN,C,22,5,3,8,3,44,0,0,0,9,10,49.6,2.254545455
Brandon Tanev,PIT,LW,42,8,11,19,3,63,0,1,1,161,42,175.2,4.171428571
Brayden McNabb,VGK,D,45,2,5,7,0,43,0,0,0,135,78,139.7,3.104444444
Brayden Point,TB,C,38,17,18,35,8,88,7,3,10,12,14,149.2,3.926315789
Brayden Schenn,STL,C,43,17,17,34,-3,87,7,5,12,69,7,168.3,3.913953488
Braydon Coburn,TB,D,20,1,0,1,3,22,0,0,0,28,14,34.3,1.715
Brendan Gallagher,MON,RW,40,15,17,32,5,158,0,4,4,35,28,180.2,4.505
Brendan Gaunce,BOS,C,1,0,1,1,1,0,0,0,0,2,0,3.5,3.5
Brendan Guhle,ANH,D,18,1,3,4,-3,22,0,0,0,8,20,30.3,1.683333333
Brendan Leipsic,WAS,LW,43,3,7,10,7,42,0,1,1,34,12,67.3,1.565116279
Brendan Lemieux,NYR,LW,35,5,8,13,-8,56,1,1,2,86,39,113.9,3.254285714
Brendan Perlini,DET,LW,25,0,2,2,-11,33,0,0,0,15,7,22.7,0.908
Brendan Smith,NYR,D,40,3,3,6,-9,29,0,0,0,61,19,62.1,1.5525
Brenden Dillon,SJ,D,44,1,9,10,-2,42,0,0,0,137,45,127.8,2.904545455
Brennan Menell,MIN,D,5,0,0,0,1,4,0,0,0,2,4,5.1,1.02
Brent Burns,SJ,D,44,7,22,29,-20,127,4,7,11,52,54,169.8,3.859090909
Brent Seabrook,CHI,D,32,3,1,4,1,40,1,0,1,52,61,85,2.65625
Brett Connolly,FLA,RW,42,16,10,26,1,72,4,2,6,41,13,130.3,3.102380952
Brett Howden,NYR,C,41,5,6,11,-8,43,0,0,0,44,39,81.7,1.992682927
Brett Kulak,MON,D,30,0,3,3,-8,49,0,0,0,36,34,56.6,1.886666667
Brett Pesce,CAR,D,42,4,11,15,5,76,0,0,0,17,65,107.9,2.569047619
Brett Ritchie,BOS,RW,23,2,3,5,-5,29,0,1,1,70,2,58.1,2.526086957
Brett Seney,NJ,LW,2,0,0,0,-1,1,0,0,0,2,0,0.9,0.45
Brian Boyle,FLA,C,32,5,7,12,-6,47,1,0,1,53,32,88.3,2.759375
Brian Dumoulin,PIT,D,23,1,6,7,17,33,0,1,1,39,27,70.7,3.073913043
Brian Gibbons,CAR,C,15,0,0,0,-7,9,0,0,0,7,9,8.1,0.54
Brian Lashoff,DET,D,5,0,1,1,0,3,0,0,0,12,6,12.2,2.44
Brock Boeser,VAN,RW,42,13,26,39,2,126,5,9,14,22,9,171.9,4.092857143
Brock McGinn,CAR,LW,42,4,5,9,-3,58,0,0,0,48,15,75.2,1.79047619
Brock Nelson,NYI,C,40,15,16,31,3,119,3,2,5,34,28,162.1,4.0525
Bryan Little,WPG,C,7,2,3,5,4,13,0,0,0,3,3,22.2,3.171428571
Bryan Rust,PIT,RW,28,17,17,34,18,92,4,4,8,37,21,167.8,5.992857143
C.J. Suess,WPG,LW,1,0,0,0,-1,0,0,0,0,1,0,0,0
Cal Clutterbuck,NYI,RW,33,3,4,7,7,34,0,0,0,116,36,110.1,3.336363636
Cale Fleury,MON,D,36,1,0,1,-1,41,0,0,0,86,39,81.4,2.261111111
Cale Makar,COL,D,34,9,23,32,6,72,3,11,14,21,30,144.3,4.244117647
Caleb Jones,EDM,D,19,0,2,2,-5,16,0,0,0,15,21,25.9,1.363157895
Calle Jarnkrok,NSH,C,41,12,15,27,2,93,2,4,6,22,10,126.2,3.07804878
Calle Rosen,COL,D,8,0,2,2,2,10,0,0,0,3,5,13,1.625
Calvin de Haan,CHI,D,29,1,5,6,10,42,0,0,0,93,73,117.8,4.062068966
Cam Atkinson,CLS,RW,35,9,12,21,-5,113,3,5,8,16,20,119.7,3.42
Cam Fowler,ANH,D,42,9,13,22,4,88,2,5,7,20,46,130.2,3.1
Cameron Hughes,BOS,C,1,0,0,0,-1,0,0,0,0,1,2,1,1
Carl Dahlstrom,WPG,D,14,0,0,0,-5,9,0,0,0,5,12,9.6,0.685714286
Carl Grundstrom,LA,LW,9,0,4,4,2,14,0,0,0,20,3,26.1,2.9
Carl Gunnarsson,STL,D,17,1,3,4,1,9,0,0,0,12,21,29.6,1.741176471
Carl Hagelin,WAS,LW,32,1,8,9,7,48,0,0,0,14,9,53.2,1.6625
Carl Soderberg,ARI,C,44,12,13,25,6,65,4,4,8,47,21,133,3.022727273
Carsen Twarynski,PHI,LW,15,1,0,1,-2,14,0,0,0,40,8,31.6,2.106666667
Carson Soucy,MIN,D,40,5,5,10,15,41,0,0,0,43,31,85.9,2.1475
Carter Rowney,ANH,C,42,5,4,9,-2,46,0,0,0,120,23,111.9,2.664285714
Carter Verhaeghe,TB,C,28,2,4,6,-4,33,0,0,0,11,2,31.7,1.132142857
Casey Cizikas,NYI,C,35,8,4,12,10,52,0,0,0,104,28,123.8,3.537142857
Casey Mittelstadt,BUF,C,31,4,5,9,-5,34,1,1,2,11,8,44.6,1.438709677
Cedric Paquette,TB,C,33,4,7,11,-7,48,0,0,0,105,28,108.2,3.278787879
Chad Ruhwedel,PIT,D,19,2,3,5,3,23,0,0,0,46,8,49.7,2.615789474
Chandler Stephenson,VGK,RW,40,8,5,13,16,37,1,1,2,37,21,87.8,2.195
Charles Hudon,MON,LW,9,0,1,1,-4,14,0,0,0,15,1,13.6,1.511111111
Charlie Coyle,BOS,C,43,7,13,20,-1,85,0,2,2,48,19,116,2.697674419
Charlie McAvoy,BOS,D,40,0,13,13,9,55,0,1,1,90,80,138.5,3.4625
Chris Kreider,NYR,LW,41,12,14,26,4,94,3,3,6,79,31,164.6,4.014634146
Chris Stewart,PHI,RW,15,0,1,1,-7,4,0,0,0,35,4,19.6,1.306666667
Chris Tanev,VAN,D,42,2,10,12,4,29,0,1,1,21,97,99.6,2.371428571
Chris Tierney,OTT,C,42,6,16,22,-6,50,1,0,1,29,21,93,2.214285714
Chris Wagner,BOS,RW,41,3,4,7,-6,42,0,0,0,113,16,95.3,2.324390244
Christian Djoos,WAS,D,2,0,0,0,1,1,0,0,0,0,0,0.9,0.45
Christian Dvorak,ARI,LW,44,10,15,25,7,84,3,3,6,28,26,130.1,2.956818182
Christian Fischer,ARI,RW,39,5,3,8,6,65,0,0,0,94,17,105.5,2.705128205
Christian Folin,MON,D,5,0,1,1,2,2,0,0,0,14,9,15.3,3.06
Christian Jaros,OTT,D,5,0,2,2,-1,1,0,0,0,11,5,11.9,2.38
Christoffer Ehn,DET,C,31,1,0,1,-13,17,0,0,0,31,11,24.3,0.783870968
Clark Bishop,CAR,C,5,0,1,1,-2,4,0,0,0,5,0,5.1,1.02
Claude Giroux,PHI,C,42,13,17,30,9,135,4,7,11,35,12,166,3.952380952
Clayton Keller,ARI,C,44,12,20,32,-1,129,2,10,12,13,8,149.6,3.4
Cody Ceci,TOR,D,43,1,6,7,9,35,0,0,0,64,69,100,2.325581395
Cody Eakin,VGK,C,24,3,4,7,-6,38,0,1,1,19,9,44.2,1.841666667
Cody Glass,VGK,C,37,5,7,12,-7,49,1,5,6,15,6,61.6,1.664864865
Cody Goloubef,OTT,D,16,0,1,1,-3,9,0,0,0,32,19,29.6,1.85
Colby Cave,EDM,C,5,1,0,1,-1,2,0,0,0,12,0,9.3,1.86
Cole Bardreau,NYI,LW,9,1,1,2,-1,9,0,0,0,19,1,18.1,2.011111111
Colin Blackwell,NSH,C,10,0,3,3,6,12,0,0,0,24,5,28.3,2.83
Colin Miller,BUF,D,31,1,5,6,-4,49,0,3,3,52,27,73.1,2.358064516
Colin White,OTT,C,35,3,7,10,-9,48,0,1,1,21,18,58.2,1.662857143
Colin Wilson,COL,LW,9,0,4,4,6,12,0,0,0,8,2,20.8,2.311111111
Colton Parayko,STL,D,42,2,11,13,3,93,0,2,2,56,75,134.2,3.195238095
Colton Sceviour,FLA,RW,42,5,7,12,-1,69,0,0,0,46,37,97.6,2.323809524
Colton Sissons,NSH,RW,37,7,6,13,1,38,0,0,0,60,26,91.7,2.478378378
Connor Brown,OTT,RW,42,7,18,25,1,100,0,1,1,16,26,119.5,2.845238095
Connor Bunnaman,PHI,C,4,0,0,0,0,4,0,0,0,5,1,4.6,1.15
Connor Carrick,NJ,D,6,0,1,1,-3,4,0,0,0,7,8,9.6,1.6
Connor Clifton,BOS,D,30,2,0,2,4,20,0,0,0,85,32,74.5,2.483333333
Connor McDavid,EDM,C,44,23,42,65,-5,138,9,20,29,27,17,256.7,5.834090909
Connor Murphy,CHI,D,31,4,7,11,1,59,0,0,0,71,71,121.1,3.906451613
Conor Garland,ARI,RW,43,14,8,22,4,102,3,3,6,20,16,124.8,2.902325581
Conor Sheary,BUF,LW,36,7,7,14,3,62,1,1,2,21,18,82.8,2.3
Conor Timmins,COL,D,2,0,0,0,2,1,0,0,0,0,0,1.4,0.7
Corey Perry,DAL,RW,34,3,10,13,0,42,0,3,3,29,18,72.3,2.126470588
Cory Conacher,TB,LW,4,0,1,1,-2,5,0,0,0,3,1,5,1.25
Craig Smith,NSH,RW,41,10,10,20,14,110,1,2,3,36,10,127,3.097560976
Curtis Lazar,BUF,C,13,3,1,4,-1,8,0,0,0,28,8,31.7,2.438461538
Dale Weise,MON,RW,2,0,0,0,-1,0,0,0,0,6,1,3,1.5
Dalton Prout,SJ,D,2,0,0,0,0,2,0,0,0,3,3,3.8,1.9
Dalton Smith,BUF,LW,1,0,0,0,1,0,0,0,0,0,0,0.5,0.5
Damon Severson,NJ,D,41,4,8,12,-12,58,0,1,1,46,54,96.2,2.346341463
Dan Hamhuis,NSH,D,37,0,5,5,7,21,0,0,0,44,34,60.9,1.645945946
Daniel Carr,NSH,LW,11,1,0,1,-5,14,0,0,0,10,2,12.1,1.1
Daniel Sprong,ANH,RW,2,1,1,2,-1,5,1,0,1,0,0,7.5,3.75
Danil Yurtaikin,SJ,LW,4,0,0,0,-1,2,0,0,0,3,2,2.8,0.7
Danny DeKeyser,DET,D,8,0,4,4,0,12,0,0,0,6,18,24.8,3.1
Dante Fabbro,NSH,D,39,4,5,9,0,54,1,0,1,31,50,85.1,2.182051282
Danton Heinen,BOS,C,42,6,9,15,2,58,3,2,5,18,26,87.2,2.076190476
Darnell Nurse,EDM,D,44,3,17,20,-4,102,0,2,2,88,76,165.8,3.768181818
Darren Helm,DET,C,42,6,4,10,1,56,0,0,0,59,18,87.4,2.080952381
David Backes,BOS,RW,15,1,2,3,-2,26,1,0,1,21,3,29.4,1.96
David Gustafsson,WPG,C,22,1,0,1,-2,4,0,0,0,5,6,9.1,0.413636364
David Kampf,CHI,RW,43,6,6,12,-9,58,0,0,0,33,18,74.2,1.725581395
David Kase,PHI,RW,5,1,0,1,1,5,0,0,0,3,1,7.5,1.5
David Krejci,BOS,C,36,8,20,28,13,45,2,8,10,27,20,122,3.388888889
David Pastrnak,BOS,RW,43,31,30,61,12,170,15,11,26,37,13,278,6.465116279
David Perron,STL,RW,43,17,26,43,0,103,6,16,22,48,12,196.2,4.562790698
David Savard,CLS,D,40,0,7,7,2,50,0,0,0,75,90,117.5,2.9375
Dean Kukan,CLS,D,33,1,4,5,-9,51,1,0,1,24,28,53.9,1.633333333
Denis Gurianov,DAL,RW,37,9,6,15,2,78,3,2,5,35,12,99.7,2.694594595
Denis Malgin,FLA,C,30,3,6,9,-6,43,1,0,1,21,12,52.7,1.756666667
Dennis Cholowski,DET,D,29,2,6,8,-22,43,1,4,5,14,27,49.7,1.713793103
Dennis Gilbert,CHI,D,19,1,2,3,-8,12,0,0,0,69,32,58.3,3.068421053
Derek Grant,ANH,C,34,9,3,12,-2,50,1,0,1,31,17,77,2.264705882
Derek Ryan,CGY,C,44,7,15,22,8,72,0,3,3,10,20,101.8,2.313636364
Derek Stepan,ARI,C,44,7,9,16,-5,93,1,5,6,26,28,106.7,2.425
Derick Brassard,NYI,C,40,8,13,21,1,68,2,4,6,66,17,125.2,3.13
Derrick Pouliot,STL,D,2,0,0,0,-1,1,0,0,0,2,1,1.4,0.7
Deryk Engelland,VGK,D,40,1,5,6,9,48,0,0,0,101,72,123.2,3.08
Devin Shore,ANH,C,26,2,4,6,-1,33,0,2,2,30,10,48.7,1.873076923
Devon Toews,NYI,D,40,3,10,13,0,71,1,2,3,29,41,95.4,2.385
Dillon Dube,CGY,C,20,3,5,8,3,23,0,0,0,20,4,41.7,2.085
Dmitry Kulikov,WPG,D,25,1,3,4,2,28,0,0,0,40,38,60.2,2.408
Dmitry Orlov,WAS,D,43,3,17,20,3,68,1,4,5,66,52,135.7,3.155813953
Dmytro Timashov,TOR,LW,30,3,5,8,1,23,0,0,0,69,8,67.2,2.24
Dominic Toninato,FLA,LW,24,4,2,6,3,21,0,0,0,27,14,46.4,1.933333333
Dominik Kahun,PIT,C,41,9,12,21,9,63,0,1,1,5,15,91.7,2.236585366
Dominik Kubalik,CHI,LW,41,12,10,22,1,87,2,3,5,57,13,131.3,3.202439024
Dominik Simon,PIT,C,42,4,12,16,-4,75,0,1,1,31,12,86.5,2.05952381
Dougie Hamilton,CAR,D,42,13,24,37,27,157,2,10,12,45,56,225.8,5.376190476
Drake Batherson,OTT,RW,3,0,1,1,-5,1,0,1,1,2,4,3.9,1.3
Drake Caggiula,CHI,LW,15,3,1,4,-2,15,0,0,0,37,7,38,2.533333333
Drew Doughty,LA,D,43,6,20,26,-10,98,4,7,11,81,63,175.2,4.074418605
Dryden Hunt,FLA,LW,20,0,4,4,0,32,0,0,0,35,6,41.3,2.065
Duncan Keith,CHI,D,34,1,10,11,-2,55,0,3,3,18,67,89.5,2.632352941
Dustin Brown,LA,RW,39,8,11,19,0,94,0,2,2,84,7,131.1,3.361538462
Dylan DeMelo,OTT,D,32,0,6,6,7,42,0,0,0,56,43,81.8,2.55625
Dylan Gambrell,SJ,C,30,2,4,6,-11,19,0,1,1,19,20,36.6,1.22
Dylan Larkin,DET,C,43,10,17,27,-16,132,4,4,8,29,29,145.8,3.390697674
Dylan McIlrath,DET,D,16,0,0,0,-4,14,0,0,0,48,12,33.6,2.1
Dylan Sikura,CHI,LW,6,1,2,3,0,9,0,0,0,0,1,11.1,1.85
Dylan Strome,CHI,C,39,10,20,30,3,64,2,5,7,16,15,119.6,3.066666667
Eetu Luostarinen,CAR,LW,8,0,1,1,-2,9,0,0,0,9,2,10.1,1.2625
Elias Lindholm,CGY,RW,44,16,16,32,-11,103,6,6,12,54,28,168.7,3.834090909
Elias Pettersson,VAN,C,42,19,25,44,3,107,6,12,18,40,24,201.3,4.792857143
Emil Bemstrom,CLS,C,28,3,6,9,-2,39,2,1,3,26,8,55.6,1.985714286
Eric Robinson,CLS,LW,22,4,4,8,6,28,0,0,0,42,8,59.2,2.690909091
Eric Staal,MIN,C,43,16,17,33,-7,76,5,3,8,19,15,133.9,3.113953488
Erik Brannstrom,OTT,D,31,0,4,4,-9,38,0,1,1,15,36,45.2,1.458064516
Erik Cernak,TB,D,38,2,4,6,0,76,0,0,0,93,52,116.9,3.076315789
Erik Gudbranson,ANH,D,38,3,4,7,2,54,0,0,0,68,39,93.1,2.45
Erik Gustafsson,CHI,D,42,5,13,18,-4,74,2,5,7,57,33,120.6,2.871428571
Erik Haula,CAR,C,23,11,6,17,1,50,3,3,6,8,5,78,3.391304348
Erik Johnson,COL,D,31,1,8,9,2,54,0,0,0,54,63,100.1,3.229032258
Erik Karlsson,SJ,D,43,4,26,30,-15,95,1,8,9,22,55,142,3.302325581
Esa Lindell,DAL,D,42,2,14,16,8,57,1,4,5,46,75,126.3,3.007142857
Ethan Bear,EDM,D,44,4,10,14,-4,56,1,0,1,38,61,102.9,2.338636364
Evan Rodrigues,BUF,C,24,0,3,3,-5,38,0,0,0,14,8,29.7,1.2375
Evander Kane,SJ,LW,41,18,14,32,-3,135,9,3,12,92,15,200,4.87804878
Evgeni Malkin,PIT,C,29,11,28,39,14,104,2,8,10,11,14,160.1,5.520689655
Evgenii Dadonov,FLA,RW,42,18,16,34,4,110,8,2,10,21,15,160,3.80952381
Evgeny Kuznetsov,WAS,C,40,16,24,40,4,86,6,6,12,20,13,160.9,4.0225
