Player,Team,Pos,Games,G,A,Pts,plusminus,SOG,PPG,PPA,PPP,Hits,BS,FP,FPGP
Evgeny Svechnikov,DET,LW,4,0,0,0,-1,7,0,0,0,5,1,5.3,1.325
Filip Chlapik,OTT,C,18,2,3,5,-1,17,0,0,0,30,3,34.8,1.933333333
Filip Chytil,NYR,C,32,10,4,14,4,68,1,0,1,6,20,81.2,2.5375
Filip Forsberg,NSH,RW,35,14,14,28,-1,115,3,4,7,49,7,150.5,4.3
Filip Hronek,DET,D,41,8,15,23,-18,82,1,6,7,68,53,145.3,3.543902439
Filip Zadina,DET,LW,18,4,6,10,-4,32,2,3,5,4,5,44.3,2.461111111
Frank Vatrano,FLA,LW,42,9,9,18,-6,97,1,0,1,59,32,127.3,3.030952381
Frans Nielsen,DET,C,38,1,3,4,-7,58,0,0,0,24,21,51.2,1.347368421
Frederik Gauthier,TOR,C,39,4,4,8,1,27,0,0,0,45,14,60.8,1.558974359
Gabriel Bourque,WPG,LW,28,2,3,5,0,24,0,0,0,68,24,67.6,2.414285714
Gabriel Carlsson,CLS,D,6,0,0,0,-1,3,0,0,0,5,0,3.2,0.533333333
Gabriel Dumont,MIN,C,3,0,0,0,-1,3,0,0,0,9,2,6.2,2.066666667
Gabriel Landeskog,COL,LW,26,10,7,17,-7,68,4,3,7,54,15,109.2,4.2
Gaetan Haas,EDM,C,36,4,4,8,-1,34,0,1,1,37,22,63.6,1.766666667
Garnet Hathaway,WAS,RW,40,6,6,12,7,48,0,0,0,106,29,120.2,3.005
Gemel Smith,TB,C,3,1,0,1,0,1,0,0,0,1,2,4.9,1.633333333
Gerald Mayhew,MIN,C,7,2,0,2,2,9,0,0,0,5,2,14.1,2.014285714
German Rubtsov,PHI,C,3,0,0,0,-1,1,0,0,0,2,4,2.9,0.966666667
Givani Smith,DET,LW,7,0,0,0,0,7,0,0,0,13,0,9.3,1.328571429
Greg McKegg,NYR,C,28,1,3,4,-3,21,0,0,0,37,7,37.9,1.353571429
Gustav Nyquist,CLS,RW,42,9,19,28,5,90,2,5,7,19,13,126.5,3.011904762
Gustav Olofsson,MON,D,3,0,0,0,-4,2,0,0,0,1,6,2.3,0.766666667
Hampus Lindholm,ANH,D,34,1,16,17,-10,59,1,5,6,17,44,90.1,2.65
Haydn Fleury,CAR,D,23,2,3,5,-4,32,0,0,0,19,19,41.8,1.817391304
Henri Jokiharju,BUF,D,43,4,7,11,1,56,1,0,1,43,37,89.9,2.090697674
Henrik Borgstrom,FLA,C,4,0,0,0,-2,3,0,0,0,1,0,0.7,0.175
Ian Cole,COL,D,37,4,16,20,24,44,0,0,0,48,82,138.6,3.745945946
Ilya Kovalchuk,MON,RW,17,3,6,9,-10,35,1,2,3,12,9,43.5,2.558823529
Ilya Lyubushkin,ARI,D,30,0,2,2,2,29,0,0,0,91,32,78.1,2.603333333
Ilya Mikheyev,TOR,RW,39,8,15,23,7,98,0,0,0,26,13,116.2,2.979487179
Isac Lundestrom,ANH,LW,11,0,3,3,-2,7,0,1,1,4,6,13.8,1.254545455
Ivan Barbashev,STL,LW,41,5,11,16,1,45,0,0,0,90,24,112.5,2.743902439
Ivan Provorov,PHI,D,42,9,15,24,2,96,6,7,13,47,69,167.4,3.985714286
J.T. Compher,COL,C,39,5,16,21,12,61,1,2,3,23,31,107.4,2.753846154
J.T. Miller,VAN,C,42,15,25,40,2,105,7,9,16,70,25,201.5,4.797619048
Jaccob Slavin,CAR,D,42,4,17,21,25,93,0,0,0,25,68,142.2,3.385714286
Jack Eichel,BUF,C,42,26,29,55,10,147,6,10,16,27,31,244.8,5.828571429
Jack Hughes,NJ,C,36,6,10,16,-10,77,3,3,6,7,12,79.3,2.202777778
Jack Johnson,PIT,D,40,2,5,7,6,39,0,0,0,106,47,111.1,2.7775
Jack Roslovic,WPG,RW,42,7,10,17,6,67,1,1,2,37,11,96.8,2.304761905
Jack Studnicka,BOS,C,2,0,1,1,2,3,0,0,0,2,0,5.2,2.6
Jacob De La Rose,STL,C,40,2,6,8,3,41,0,0,0,88,15,87.4,2.185
Jacob Larsson,ANH,D,32,1,3,4,-8,32,0,0,0,17,29,40.8,1.275
Jacob Middleton,SJ,D,4,0,0,0,0,2,0,0,0,5,2,4.3,1.075
Jacob Trouba,NYR,D,41,6,15,21,-4,109,3,4,7,102,72,183.6,4.47804878
Jaden Schwartz,STL,LW,43,14,22,36,-2,96,6,7,13,31,25,164.4,3.823255814
Jake Bischoff,VGK,D,4,0,0,0,-2,6,0,0,0,8,8,9.4,2.35
Jake DeBrusk,BOS,LW,38,11,9,20,0,86,5,1,6,18,9,104.9,2.760526316
Jake Gardiner,CAR,D,42,2,7,9,-21,52,0,4,4,35,28,65.8,1.566666667
Jake Guentzel,PIT,LW,39,20,23,43,11,127,6,4,10,46,19,204.8,5.251282051
Jake McCabe,BUF,D,41,2,5,7,-3,46,0,0,0,60,61,93.4,2.27804878
Jake Muzzin,TOR,D,38,3,10,13,8,69,0,0,0,87,69,138.6,3.647368421
Jake Virtanen,VAN,LW,42,12,12,24,0,82,3,2,5,70,15,140.3,3.34047619
Jake Walman,STL,D,1,0,0,0,1,1,0,0,0,0,1,1.4,1.4
Jakob Chychrun,ARI,D,44,10,9,19,3,95,4,2,6,49,67,151.5,3.443181818
Jakob Lilja,CLS,LW,17,1,2,3,1,16,0,0,0,9,14,25.4,1.494117647
Jakob Silfverberg,ANH,RW,41,15,13,28,-1,91,3,3,6,23,20,134.4,3.27804878
Jakub Voracek,PHI,LW,42,8,25,33,7,69,2,9,11,13,14,129.6,3.085714286
Jakub Vrana,WAS,RW,43,18,16,34,8,123,0,6,6,16,11,158.7,3.690697674
James Neal,EDM,RW,44,19,8,27,-22,96,12,5,17,61,12,153.9,3.497727273
James van Riemsdyk,PHI,LW,42,12,11,23,4,104,2,1,3,16,8,116.6,2.776190476
Jamie Benn,DAL,C,42,9,11,20,-1,109,3,3,6,105,39,170.1,4.05
Jamie Oleksiak,DAL,D,42,1,5,6,2,50,0,0,0,82,35,92.5,2.202380952
Jan Rutta,TB,D,21,1,3,4,3,30,0,0,0,17,14,38,1.80952381
Jansen Harkins,WPG,C,7,0,2,2,-1,5,0,0,0,2,3,8,1.142857143
Jared McCann,PIT,C,40,11,13,24,12,86,1,2,3,63,18,142.9,3.5725
Jared Spurgeon,MIN,D,36,3,14,17,-8,60,0,4,4,29,65,108,3
Jarred Tinordi,NSH,D,3,0,0,0,1,2,0,0,0,16,1,9.8,3.266666667
Jason Demers,ARI,D,36,0,5,5,2,39,0,0,0,50,49,76.1,2.113888889
Jason Dickinson,DAL,C,38,5,7,12,6,44,0,0,0,59,33,95.6,2.515789474
Jason Spezza,TOR,C,31,5,11,16,-2,37,1,4,5,7,11,64.8,2.090322581
Jason Zucker,MIN,LW,34,12,12,24,-4,61,4,3,7,27,20,112.9,3.320588235
Jay Beagle,VAN,C,33,1,2,3,-6,30,0,0,0,41,23,48,1.454545455
Jay Bouwmeester,STL,D,43,1,5,6,2,41,0,0,0,36,53,74.9,1.741860465
Jayce Hawryluk,FLA,C,9,1,2,3,-1,5,0,0,0,18,5,20,2.222222222
Jayson Megna,COL,LW,8,0,0,0,-1,4,0,0,0,10,5,8.6,1.075
Jean-Christophe Beaudin,OTT,C,22,0,1,1,-4,18,0,0,0,51,11,38.2,1.736363636
Jean-Gabriel Pageau,OTT,C,42,19,11,30,16,99,1,4,5,81,35,189.6,4.514285714
Jean-Sebastien Dea,BUF,C,1,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Carter,LA,C,43,12,8,20,-12,135,2,2,4,41,17,133,3.093023256
Jeff Petry,MON,D,42,6,19,25,-6,100,2,6,8,107,47,178,4.238095238
Jeff Skinner,BUF,LW,39,11,8,19,-9,128,0,3,3,17,9,111.7,2.864102564
Jeremy Lauzon,BOS,D,1,0,0,0,-1,2,0,0,0,1,2,1.8,1.8
Jesper Boqvist,NJ,C,27,4,0,4,-7,33,1,0,1,33,12,45.2,1.674074074
Jesper Bratt,NJ,LW,35,8,7,15,-5,51,0,0,0,12,11,67.4,1.925714286
Jesper Fast,NYR,RW,40,6,8,14,9,48,0,0,0,66,26,103.7,2.5925
Jesperi Kotkaniemi,MON,C,27,5,2,7,-9,42,1,1,2,44,10,60.3,2.233333333
Jimmy Vesey,BUF,LW,40,5,8,13,10,59,0,0,0,18,11,74.1,1.8525
Joachim Blichfeld,SJ,LW,2,0,0,0,-1,1,0,0,0,3,2,2.4,1.2
Joakim Nordstrom,BOS,C,31,4,1,5,-3,37,0,0,0,60,15,64.8,2.090322581
Joakim Nygard,EDM,LW,27,2,4,6,-1,33,1,0,1,17,7,39.7,1.47037037
Joakim Ryan,LA,D,27,1,2,3,-4,32,0,0,0,14,35,42.3,1.566666667
Joe Hicketts,DET,D,6,0,2,2,-5,6,0,0,0,14,13,17.4,2.9
Joe Pavelski,DAL,RW,42,8,10,18,4,82,3,2,5,38,30,117.8,2.804761905
Joe Thornton,SJ,C,44,1,17,18,-8,45,0,3,3,13,16,68.5,1.556818182
Joel Armia,MON,RW,35,12,9,21,6,110,3,1,4,92,18,160,4.571428571
Joel Edmundson,CAR,D,42,3,7,10,4,57,0,0,0,69,57,110.8,2.638095238
Joel Eriksson Ek,MIN,C,36,3,14,17,2,58,0,0,0,64,30,108.2,3.005555556
Joel Farabee,PHI,LW,33,3,9,12,-1,51,0,0,0,22,12,63.9,1.936363636
Joel Hanley,DAL,D,8,0,2,2,0,4,0,0,0,3,8,11.1,1.3875
Joel Kellman,SJ,C,8,1,1,2,0,6,0,0,0,8,5,13.9,1.7375
Joel Kiviranta,DAL,RW,1,0,0,0,0,3,0,0,0,0,0,1.2,1.2
Joel L'Esperance,DAL,C,3,1,0,1,0,2,0,0,0,1,1,4.8,1.6
Joel Persson,EDM,D,13,0,2,2,-1,17,0,0,0,6,10,18.3,1.407692308
Johan Larsson,BUF,C,37,4,8,12,8,37,0,0,0,48,20,80.8,2.183783784
John Carlson,WAS,D,43,13,39,52,16,124,2,14,16,36,71,244.1,5.676744186
John Gilmour,BUF,D,4,0,0,0,-2,5,0,0,0,3,3,4,1
John Hayden,NJ,C,18,1,1,2,-2,16,0,0,0,36,10,33.4,1.855555556
John Klingberg,DAL,D,34,2,16,18,-9,63,1,9,10,21,43,100.7,2.961764706
John Marino,PIT,D,40,4,15,19,14,53,1,2,3,57,58,130.7,3.2675
John Moore,BOS,D,12,1,1,2,-3,19,0,0,0,16,14,26.1,2.175
John Quenneville,CHI,C,6,0,0,0,0,10,0,0,0,14,2,12,2
John Tavares,TOR,C,36,16,20,36,2,114,3,8,11,12,19,161.1,4.475
Johnny Boychuk,NYI,D,39,2,8,10,1,61,1,0,1,83,78,128.4,3.292307692
Johnny Gaudreau,CGY,LW,44,11,24,35,-11,114,3,8,11,1,6,135.6,3.081818182
Jon Merrill,VGK,D,37,1,3,4,3,30,0,0,0,38,56,69.5,1.878378378
Jonas Brodin,MIN,D,43,1,16,17,10,59,0,0,0,32,57,108.1,2.513953488
Jonas Siegenthaler,WAS,D,43,2,6,8,9,30,0,0,0,37,73,89.5,2.081395349
Jonathan Davidsson,OTT,RW,6,0,1,1,0,3,0,0,0,5,1,6.2,1.033333333
Jonathan Drouin,MON,C,19,7,8,15,4,44,1,3,4,22,4,73.6,3.873684211
Jonathan Ericsson,DET,D,9,0,0,0,-7,8,0,0,0,13,4,8.2,0.911111111
Jonathan Huberdeau,FLA,LW,42,17,40,57,13,95,3,16,19,33,14,218,5.19047619
Jonathan Marchessault,VGK,LW,43,15,16,31,-3,153,3,5,8,74,9,186.2,4.330232558
Jonathan Toews,CHI,C,43,10,21,31,-6,105,1,3,4,33,25,144,3.348837209
Jonny Brodzinski,SJ,RW,3,0,1,1,0,5,0,0,0,3,0,5.5,1.833333333
Joona Luoto,WPG,RW,16,0,0,0,-3,9,0,0,0,10,8,11.1,0.69375
Joonas Donskoi,COL,RW,42,14,15,29,0,81,4,1,5,14,24,128.4,3.057142857
Jordan Eberle,NYI,RW,30,3,14,17,-3,64,1,4,5,15,15,81.1,2.703333333
Jordan Greenway,MIN,LW,41,5,11,16,-2,50,0,1,1,63,24,100.5,2.451219512
Jordan Gross,ARI,D,2,0,1,1,2,3,0,0,0,0,1,4.7,2.35
Jordan Kyrou,STL,RW,10,2,2,4,2,14,0,1,1,5,3,21.6,2.16
Jordan Martinook,CAR,LW,27,2,7,9,-4,26,0,0,0,39,13,54.4,2.014814815
Jordan Oesterle,ARI,D,35,1,7,8,-2,44,0,1,1,28,55,76.1,2.174285714
Jordan Staal,CAR,C,42,6,10,16,3,85,2,1,3,91,19,131.5,3.130952381
Jordan Szwarz,OTT,RW,3,0,0,0,0,2,0,0,0,6,1,4.3,1.433333333
Jordan Weal,MON,C,34,4,3,7,-8,50,2,1,3,24,18,58,1.705882353
Jordie Benn,VAN,D,37,0,6,6,-4,50,0,0,0,30,54,72,1.945945946
Joseph Blandisi,PIT,C,21,2,3,5,-3,12,0,0,0,26,9,32.8,1.561904762
Josh Anderson,CLS,RW,26,1,3,4,-8,63,0,0,0,68,13,70.7,2.719230769
Josh Archibald,EDM,RW,35,3,3,6,-11,37,0,0,0,87,19,77.3,2.208571429
Josh Bailey,NYI,LW,40,8,15,23,-9,53,1,5,6,15,28,98.2,2.455
Josh Brown,FLA,D,37,2,2,4,3,28,0,0,0,46,41,66.2,1.789189189
Josh Leivo,VAN,LW,36,7,12,19,0,69,0,5,5,17,8,90.1,2.502777778
Josh Mahura,ANH,D,11,1,3,4,-3,11,0,0,0,2,11,18.4,1.672727273
Josh Manson,ANH,D,23,0,3,3,-5,29,0,0,0,52,28,55.1,2.395652174
Josh Morrissey,WPG,D,40,3,20,23,-2,78,1,8,9,22,38,118.2,2.955
Jujhar Khaira,EDM,C,40,6,2,8,-14,48,0,0,0,82,15,82.7,2.0675
Julien Gauthier,CAR,RW,5,0,1,1,2,1,0,0,0,4,0,5.4,1.08
Justin Abdelkader,DET,LW,26,0,3,3,-2,23,0,0,0,55,18,50.7,1.95
Justin Braun,PHI,D,42,2,8,10,-10,52,0,0,0,60,59,97.3,2.316666667
Justin Dowling,DAL,C,24,3,3,6,0,25,0,0,0,24,10,42,1.75
Justin Faulk,STL,D,43,3,9,12,-3,96,0,2,2,49,42,111.4,2.590697674
Justin Holl,TOR,D,41,1,11,12,17,50,0,0,0,48,33,94,2.292682927
Justin Schultz,PIT,D,27,2,6,8,-5,62,0,3,3,26,22,67.3,2.492592593
Juuso Riikola,PIT,D,20,1,4,5,3,27,0,1,1,44,16,54.3,2.715
Kaapo Kakko,NYR,RW,37,7,9,16,-15,62,2,8,10,11,8,75.8,2.048648649
Kailer Yamamoto,EDM,LW,3,1,1,2,3,6,0,0,0,11,1,14.9,4.966666667
Kale Clague,LA,D,4,0,0,0,-3,2,0,0,0,1,4,1.8,0.45
Karson Kuhlman,BOS,C,8,0,0,0,-2,13,0,0,0,9,3,10.2,1.275
Kasperi Kapanen,TOR,RW,43,10,14,24,0,72,0,3,3,55,10,122.3,2.844186047
Keith Yandle,FLA,D,42,4,28,32,2,85,2,15,17,12,39,145.5,3.464285714
Kevin Connauton,COL,D,1,0,0,0,0,2,0,0,0,3,1,2.8,2.8
Kevin Fiala,MIN,LW,38,9,16,25,2,80,2,4,6,20,11,113.5,2.986842105
Kevin Gravel,TOR,D,3,0,0,0,0,2,0,0,0,2,3,3.3,1.1
Kevin Hayes,PHI,C,42,12,11,23,-8,106,2,2,4,58,14,136.4,3.247619048
Kevin Labanc,SJ,RW,44,9,12,21,-22,107,2,3,5,29,9,106.8,2.427272727
Kevin Rooney,NJ,C,22,0,1,1,-1,19,0,0,0,23,11,26.1,1.186363636
Kevin Shattenkirk,TB,D,41,7,19,26,11,84,1,5,6,36,40,142.1,3.465853659
Kevin Stenlund,CLS,C,10,2,0,2,-3,18,2,0,2,7,11,22.7,2.27
Kirby Dach,CHI,C,37,6,5,11,-1,51,0,1,1,15,13,62.9,1.7
Klim Kostin,STL,RW,4,1,0,1,1,5,0,0,0,6,0,8.5,2.125
Kole Sherwood,CLS,C,3,0,0,0,0,6,0,0,0,10,1,7.9,2.633333333
Korbinian Holzer,ANH,D,34,1,2,3,-2,31,0,0,0,71,66,86.9,2.555882353
Kris Letang,PIT,D,34,10,16,26,6,102,3,5,8,53,52,166.3,4.891176471
Kris Russell,EDM,D,43,0,4,4,-1,37,0,0,0,59,88,95.8,2.227906977
Kurtis MacDermid,LA,D,26,2,2,4,0,32,0,0,0,53,26,62.3,2.396153846
Kyle Capobianco,ARI,D,7,1,0,1,-1,6,0,0,0,8,9,13.4,1.914285714
Kyle Clifford,LA,LW,42,5,6,11,-1,65,0,0,0,65,8,89,2.119047619
Kyle Connor,WPG,LW,42,21,20,41,-4,147,7,3,10,12,7,179.3,4.269047619
Kyle Okposo,BUF,RW,32,4,4,8,-1,43,0,0,0,30,9,56.2,1.75625
Kyle Palmieri,NJ,RW,41,15,13,28,2,98,7,4,11,51,18,156.7,3.82195122
Kyle Turris,NSH,C,34,5,12,17,-4,52,2,2,4,7,10,70.3,2.067647059
Lars Eller,WAS,C,43,10,15,25,4,103,2,2,4,37,30,140.7,3.272093023
Lawson Crouse,ARI,LW,40,9,5,14,-4,60,0,0,0,124,14,128,3.2
Lean Bergmann,SJ,LW,8,0,1,1,-5,9,0,0,0,10,4,10.1,1.2625
Leo Komarov,NYI,LW,21,0,6,6,5,19,0,0,0,55,9,54.1,2.576190476
Leon Draisaitl,EDM,C,44,24,41,65,-17,130,7,20,27,18,14,240.5,5.465909091
Lias Andersson,NYR,LW,17,0,1,1,-8,13,0,0,0,20,8,17.2,1.011764706
Libor Hajek,NYR,D,27,0,5,5,-2,22,0,0,0,23,42,50.3,1.862962963
Logan Brown,OTT,C,23,1,7,8,0,23,1,2,3,13,11,41.2,1.791304348
Logan Couture,SJ,C,44,14,22,36,0,109,0,8,8,47,37,179.6,4.081818182
Logan O'Connor,COL,C,7,1,0,1,3,8,0,0,0,3,4,11.2,1.6
Logan Shaw,WPG,RW,25,2,1,3,-1,12,0,0,0,17,11,26.3,1.052
Loui Eriksson,VAN,RW,23,2,2,4,3,26,0,0,0,1,8,26.4,1.147826087
Luca Sbisa,WPG,D,30,2,5,7,1,39,0,0,0,62,51,88.6,2.953333333
Lucas Wallmark,CAR,C,42,8,11,19,-5,59,3,3,6,34,16,98.1,2.335714286
Lukas Radil,SJ,LW,14,0,0,0,-3,12,0,0,0,16,2,12.3,0.878571429
Lukas Vejdemo,MON,C,3,0,0,0,-1,2,0,0,0,2,1,1.8,0.6
Luke Glendening,DET,RW,32,6,3,9,-11,52,0,0,0,95,37,105.3,3.290625
Luke Johnson,MIN,C,3,0,0,0,-3,1,0,0,0,6,0,1.9,0.633333333
Luke Kunin,MIN,C,42,10,9,19,-10,87,0,1,1,44,37,119.3,2.84047619
Luke Schenn,TB,D,15,1,0,1,-9,13,0,0,0,42,11,30.2,2.013333333
Luke Witkowski,TB,RW,12,1,2,3,-4,10,0,0,0,38,3,29.5,2.458333333
Mackenzie MacEachern,STL,LW,36,6,2,8,0,48,0,0,0,61,8,75.7,2.102777778
MacKenzie Weegar,FLA,D,28,3,9,12,2,46,0,0,0,46,38,88.4,3.157142857
Madison Bowey,DET,D,32,2,10,12,-11,37,0,0,0,33,31,67.3,2.103125
Marc Staal,NYR,D,25,2,3,5,3,23,0,0,0,33,42,60.2,2.408
Marc-Edouard Vlasic,SJ,D,44,5,5,10,-7,44,0,0,0,25,60,81.6,1.854545455
Marco Scandella,MON,D,32,3,6,9,9,40,0,0,0,42,37,81,2.53125
Marcus Foligno,MIN,LW,33,7,9,16,7,49,0,0,0,116,18,129.1,3.912121212
Marcus Johansson,BUF,LW,36,6,15,21,-4,42,1,4,5,29,13,88.8,2.466666667
Marcus Pettersson,PIT,D,42,1,14,15,6,46,0,1,1,63,40,104.9,2.497619048
Marcus Sorensen,SJ,RW,41,5,5,10,-10,47,0,0,0,34,14,62.8,1.531707317
Mario Ferraro,SJ,D,38,1,6,7,-8,36,0,0,0,71,27,74.4,1.957894737
Mark Barberio,COL,D,14,0,2,2,7,21,0,0,0,11,15,28.9,2.064285714
Mark Borowiecki,OTT,D,42,5,11,16,5,50,0,0,0,170,93,191,4.547619048
Mark Giordano,CGY,D,44,5,15,20,1,111,2,4,6,30,110,165.9,3.770454545
Mark Jankowski,CGY,C,35,0,1,1,-13,19,0,0,0,11,17,17.1,0.488571429
Mark Letestu,WPG,C,7,0,0,0,0,5,0,0,0,3,5,6,0.857142857
Mark Pysyk,FLA,D,32,2,4,6,-4,32,0,0,0,22,25,48.3,1.509375
Mark Scheifele,WPG,C,42,20,28,48,1,106,7,9,16,27,29,202.9,4.830952381
Mark Stone,VGK,RW,45,16,25,41,4,121,6,5,11,40,32,195.4,4.342222222
Marko Dano,CLS,C,3,0,0,0,-1,2,0,0,0,5,3,4.3,1.433333333
Markus Granlund,EDM,C,31,3,1,4,-1,23,0,0,0,15,18,36.2,1.167741935
Markus Nutivaara,CLS,D,10,2,0,2,-1,14,0,0,0,12,11,22.6,2.26
Martin Fehervary,WAS,D,3,0,0,0,0,4,0,0,0,6,0,4.6,1.533333333
Martin Frk,LA,RW,4,3,0,3,0,7,1,0,1,3,1,14.8,3.7
Martin Marincin,TOR,D,11,0,0,0,5,10,0,0,0,9,16,19,1.727272727
Martin Necas,CAR,C,38,9,14,23,-3,54,3,2,5,35,14,104.6,2.752631579
Mason Appleton,WPG,C,17,0,1,1,-4,18,0,0,0,10,7,15.7,0.923529412
Mason Marchment,TOR,LW,2,0,0,0,0,1,0,0,0,2,0,1.4,0.7
Mathew Barzal,NYI,C,40,16,18,34,7,90,3,3,6,12,28,149.5,3.7375
Mathew Dumba,MIN,D,43,3,10,13,-8,99,0,5,5,65,59,131.6,3.060465116
Mathieu Joseph,TB,RW,34,4,3,7,-2,32,0,0,0,40,8,53.8,1.582352941
Mathieu Olivier,NSH,RW,8,0,1,1,1,6,0,0,0,17,1,13.9,1.7375
Mathieu Perreault,WPG,C,36,6,6,12,-3,55,1,0,1,49,16,84,2.333333333
Mats Zuccarello,MIN,RW,39,10,13,23,-9,64,3,3,6,10,22,99.1,2.541025641
Matt Benning,EDM,D,24,0,5,5,8,18,0,0,0,50,20,56.2,2.341666667
Matt Calvert,COL,LW,35,10,12,22,13,66,0,0,0,46,18,118.9,3.397142857
Matt Duchene,NSH,C,38,9,19,28,-3,87,4,4,8,24,11,123.8,3.257894737
Matt Grzelcyk,BOS,D,42,2,9,11,1,74,0,5,5,38,42,99.1,2.35952381
Matt Irwin,NSH,D,22,0,2,2,-6,29,0,0,0,41,25,45.6,2.072727273
Matt Luff,LA,RW,15,1,4,5,-2,20,0,0,0,10,5,25.5,1.7
Matt Martin,NYI,LW,28,3,2,5,3,22,0,0,0,133,10,94.8,3.385714286
Matt Nieto,COL,LW,42,6,12,18,10,58,0,0,0,24,13,88.7,2.111904762
Matt Niskanen,PHI,D,41,5,12,17,-2,79,3,5,8,77,46,139.1,3.392682927
Matt Roy,LA,D,43,4,9,13,3,76,0,0,0,65,62,125.4,2.91627907
Matt Tennyson,NJ,D,19,0,3,3,-1,12,0,0,0,27,17,32.3,1.7
Matthew Highmore,CHI,C,14,1,1,2,-1,13,0,0,0,11,3,16.7,1.192857143
Matthew Peca,MON,C,4,0,0,0,-1,4,0,0,0,2,1,2.6,0.65
Matthew Tkachuk,CGY,LW,43,15,21,36,-8,116,3,9,12,84,11,188.9,4.393023256
Mattias Ekholm,NSH,D,40,5,18,23,2,94,0,3,3,29,63,138.6,3.465
Mattias Janmark,DAL,C,36,5,9,14,0,44,1,2,3,15,25,73.6,2.044444444
Max Domi,MON,C,42,12,20,32,6,111,1,9,10,16,6,144.4,3.438095238
Max Jones,ANH,LW,31,4,2,6,-3,56,0,0,0,36,10,59.9,1.932258065
Max Lajoie,OTT,D,6,0,0,0,0,3,0,0,0,2,3,3.7,0.616666667
Max Pacioretty,VGK,LW,45,18,25,43,10,181,5,9,14,57,23,235.4,5.231111111
Max Veronneau,OTT,RW,4,0,0,0,-2,3,0,0,0,2,2,2.2,0.55
Maxime Comtois,ANH,LW,26,4,5,9,-5,29,2,1,3,59,8,67.6,2.6
Melker Karlsson,SJ,C,40,3,4,7,-9,26,0,0,0,32,28,52.9,1.3225
Michael Amadio,LA,C,41,6,8,14,-5,70,0,3,3,16,14,77.5,1.890243902
Michael Dal Colle,NYI,LW,29,2,2,4,-2,24,0,0,0,40,10,43.6,1.503448276
Michael Del Zotto,ANH,D,28,1,6,7,3,31,0,1,1,63,35,78.9,2.817857143
Michael Frolik,BUF,LW,38,5,5,10,-10,44,0,0,0,19,11,52.6,1.384210526
Michael Grabner,ARI,RW,39,8,3,11,1,55,0,0,0,18,9,66,1.692307692
Michael McLeod,NJ,C,4,0,2,2,1,3,0,0,0,3,2,8.2,2.05
Michael Raffl,PHI,LW,32,3,6,9,-8,32,0,0,0,41,14,57.3,1.790625
Michael Sgarbossa,WAS,LW,2,0,0,0,0,1,0,0,0,3,0,1.9,0.95
Michael Stone,CGY,D,22,2,2,4,-3,35,0,0,0,33,35,56.5,2.568181818
Michal Kempny,WAS,D,33,3,11,14,9,37,0,0,0,19,49,84.3,2.554545455
Micheal Ferland,VAN,LW,14,1,4,5,-3,15,0,0,0,40,2,36.5,2.607142857
Micheal Haley,NYR,LW,18,1,0,1,-5,9,0,0,0,28,6,21.1,1.172222222
Miikka Salomaki,NSH,RW,5,1,0,1,2,2,0,0,0,9,3,10.8,2.16
Mika Zibanejad,NYR,C,28,16,15,31,2,94,6,3,9,27,24,151.1,5.396428571
Mikael Backlund,CGY,C,44,6,14,20,3,87,2,3,5,27,7,104.3,2.370454545
Mikael Granlund,NSH,C,35,6,8,14,-3,76,0,1,1,23,25,87.9,2.511428571
